old_url,old_handle,old_title,redirects_to,mapping,redirect_live,redirect_live_target,matches_plan,deleted,old_collection_id
/collections/orchid-perfumes,orchid-perfumes,Orchid Perfumes Collection | Buy Original Orchid Fragrances Online at Fragrance Secrets,/collections/orchid,renamed,yes,/collections/orchid,yes,,gid://shopify/Collection/296882372721
/collections/oud-perfumes-collection-buy-original-oud-perfumes-online-at-fragrance-secrets,oud-perfumes-collection-buy-original-oud-perfumes-online-at-fragrance-secrets,Oud Perfumes Collection – Buy Original Oud Perfumes Online at Fragrance Secrets,/collections/oud-woody,mapped,yes,/collections/oud-woody,yes,,gid://shopify/Collection/309909553265
/collections/oud-perfumes-collection-buy-original-oud-perfumes-online-at-fragrance-secrets-1,oud-perfumes-collection-buy-original-oud-perfumes-online-at-fragrance-secrets-1,Oud Perfumes Collection – Buy Original Oud Perfumes Online at Fragrance Secrets,/collections/oud-woody,mapped,yes,/collections/oud-woody,yes,,gid://shopify/Collection/309910274161
/collections/oudiction-collection-buy-original-oudiction-fragrances-online-at-fragrance-secrets,oudiction-collection-buy-original-oudiction-fragrances-online-at-fragrance-secrets,Oudiction Collection – Buy Original Oudiction Fragrances Online at Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/309912174705
/collections/panucci-perfumes-collection-buy-original-panucci-fragrance-online-fragrance-secrets,panucci-perfumes-collection-buy-original-panucci-fragrance-online-fragrance-secrets,Panucci Perfumes Collection - Buy Original Panucci Fragrance Online - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/308356120689
/collections/paris-collections,paris-collections,Paris Perfumes Collection | Buy Original Paris Fragrances Online at Fragrance Secrets,/collections/paris-collection,mapped,yes,/collections/paris-collection,yes,,gid://shopify/Collection/286255644785
/collections/parisbelle-perfumes,parisbelle-perfumes,Parisbelle Perfumes Collection | Buy Original Parisbelle Fragrances Online at Fragrance Secrets,/collections/parisbelle,renamed,yes,/collections/parisbelle,yes,,gid://shopify/Collection/297747972209
/collections/perfume-for-womens-collection,perfume-for-womens-collection,Best Perfumes for Women – Ladies Perfume & Perfume for Women Online in UAE,/collections/womens,mapped,yes,/collections/womens,yes,,gid://shopify/Collection/292057907313
/collections/perfume-oil-collection,perfume-oil-collection,Perfume Oils & Attar Oils by Fragrance Secrets – Concentrated Fragrance Oils in Bulk,/collections/perfume-oil,mapped,yes,/collections/perfume-oil,yes,,gid://shopify/Collection/292555456625
/collections/perfumes-below-30,perfumes-below-30,Perfumes Below 30 AED – Buy Affordable & Best Value Perfumes Online in UAE,/collections/crazy-deals,mapped,yes,/collections/crazy-deals,yes,,gid://shopify/Collection/291864412273
/collections/prada-perfumes,prada-perfumes,Prada Perfumes Collection | Buy Original Prada Fragrances Online at Fragrance Secrets,/collections/prada,renamed,yes,/collections/prada,yes,,gid://shopify/Collection/292373626993
/collections/premium-attar-perfume-collection-fragrance-perfume-perfume-and-attar,premium-attar-perfume-collection-fragrance-perfume-perfume-and-attar,Premium Attar Perfume Oil Collection – Best Attar Perfume & Fragrance Perfume in Dubai,/collections/attar,mapped,yes,/collections/attar,yes,,gid://shopify/Collection/297247211633
/collections/raees-roll-on,raees-roll-on,Raees Roll On,/collections/attar,mapped,yes,/collections/attar,yes,,gid://shopify/Collection/288968474737
/collections/ralph-lauren-perfumes,ralph-lauren-perfumes,Ralph Lauren Perfumes Collection | Buy Original Ralph Lauren Fragrances Online at Fragrance Secrets,/collections/ralph-lauren,renamed,yes,/collections/ralph-lauren,yes,,gid://shopify/Collection/293482889329
/collections/rayhaan-perfumes-collection-original-rayhaan-perfumes-online-at-fragrance-secrets,rayhaan-perfumes-collection-original-rayhaan-perfumes-online-at-fragrance-secrets,Rayhaan Perfumes Collection | Original Rayhaan Perfumes Online at Fragrance Secrets,/collections/rayhaan,renamed,yes,/collections/rayhaan,yes,,gid://shopify/Collection/301573570673
/collections/reef-perfumes,reef-perfumes,Reef Perfumes Collection | Buy Original Reef Fragrances Online at Fragrance Secrets,/collections/reef,renamed,yes,/collections/reef,yes,,gid://shopify/Collection/293372952689
/collections/remy-latour-timeless-french-fragrance-classic-elegance-buy-best-perfumes-online-fragrance-secrets,remy-latour-timeless-french-fragrance-classic-elegance-buy-best-perfumes-online-fragrance-secrets,Rémy Latour – Timeless French Fragrance & Classic Elegance - Buy Best Perfumes Online - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/310538109041
